day,type,title,subtitle,heading,data1,value1,data2,value2,data3,value3,caption,hashtags
10,data,やったこと3つ,,方法,1. 食べる前にカロリー確認,,2. タンパク質20g以上を選ぶ,,3. 食べたものを毎日記録,,,
10,cta,,,,,,,,,,,
11,title,大戸屋の定食,タンパク質40g超え,,,,,,,,大戸屋のチキンかあさん煮定食。タンパク質40.2g。プロテイン2.5杯分。味噌汁とサラダ付き。定食屋は筋トレ民の最強パートナー。,#大戸屋 #筋トレ飯 #高タンパク #定食 #たべなび
11,data,高タンパク定食TOP3,,大戸屋TOP3,チキンかあさん煮,P40.2g,しまほっけ定食,P36.8g,鶏と野菜の黒酢あん,P32.5g,,
11,cta,,,,,,,,,,,
12,title,デニーズの,豆腐ハンバーグ 385kcal,,,,,,,,ハンバーグ食べたいけどカロリーが…って人。デニーズの豆腐ハンバーグ385kcal。普通のハンバーグ600kcal超えなのに200kcal以上カット。味も普通にうまい。,#デニーズ #ダイエット #ハンバーグ #カロリー #たべなび
12,data,ハンバーグ比較,,カロリー比較,豆腐ハンバーグ,385kcal,All Beefハンバーグ,620kcal,差額,−235kcal,,
12,cta,,,,,,,,,,,
13,title,サブウェイを,最強ダイエット飯にする方法,,,,,,,,サブウェイのローストチキン。282kcal、タンパク質22.5g。しかもカスタマイズで野菜マシマシが無料。パンをウィートに変えれば食物繊維もUP。,#サブウェイ #ダイエット #カスタマイズ #高タンパク #たべなび
13,data,最強カスタマイズ,,ローストチキン,カロリー,282kcal,タンパク質,22.5g,脂質,4.6g,,
13,data,カスタマイズ術,,3つのポイント,パン→ウィート,食物繊維UP,野菜→全部多め（無料）,満腹感UP,ドレッシング→マスタード,低カロリー,,
13,cta,,,,,,,,,,,
14,title,ガストの,チキテキがヤバい,,,,,,,,ガストのチキテキ・ピリ辛スパイス焼き。645kcal、タンパク質33.5g。ドリンクバー付きで1000円以下。ファミレスの中で最もタンパク質コスパが良い。,#ガスト #筋トレ飯 #高タンパク #ファミレス #たべなび
14,data,チキテキの栄養,,栄養成分,カロリー,645kcal,タンパク質,33.5g,価格,約900円,,
14,cta,,,,,,,,,,,
15,title,松屋の牛めしミニ,380kcalで最強,,,,,,,,松屋の牛めしミニ盛。380kcal。コンビニの菓子パンとほぼ同じカロリーだけど中身が全然違う。牛めしはちゃんとした食事。菓子パンはほぼ砂糖と油。,#松屋 #ダイエット #牛めし #カロリー #たべなび
15,data,同じカロリーでも,,380kcalの中身,牛めしミニ,P15g（ちゃんとした食事）,菓子パン,P5g（砂糖と油）,差,タンパク質3倍,,
15,cta,,,,,,,,,,,
16,title,コンビニで,タンパク質24gを114kcalで,,,,,,,,コンビニのサラダチキン。114kcal、タンパク質24.1g、脂質1.2g。脂質1.2g。鶏むね肉を自分で茹でてもここまで低脂質にならない。コンビニの本気。,#コンビニ #サラダチキン #高タンパク #筋トレ #たべなび
16,data,サラダチキンの実力,,栄養成分,カロリー,114kcal,タンパク質,24.1g,脂質,1.2g,,
16,cta,,,,,,,,,,,
17,title,ファミレス3社,ダイエット対決,,,,,,,,サイゼリヤ vs ガスト vs デニーズ。同じ「ハンバーグ」でもカロリーが全然違う。最も低カロリーなファミレスはどこ？,#ファミレス #ダイエット #カロリー比較 #外食 #たべなび
17,data,ハンバーグ対決,,同じメニューで比較,サイゼ ハンバーグ,558kcal,ガスト ハンバーグ,680kcal,デニーズ ハンバーグ,620kcal,,
17,data,おすすめメニュー,,各社ダイエットBEST,サイゼ 若鶏のグリル,514kcal,ガスト チキテキ,645kcal,デニーズ 豆腐バーグ,385kcal,,
17,cta,,,,,,,,,,,
18,title,外食で,低脂質メニューBEST5,,,,,,,,脂質は1gで9kcal。カロリーを減らしたいなら脂質を減らすのが一番効率いい。外食チェーンの低脂質メニューBEST5を発表。,#低脂質 #ダイエット #外食 #PFC #たべなび
18,data,低脂質TOP5,,脂質が少ない順,丸亀 かけうどん,F1.5g,サブウェイ ローストチキン,F4.6g,すき家 まぐろたたき丼,F5.2g,,
18,cta,,,,,,,,,,,
19,title,糖質制限中の,外食はこれを食べろ,,,,,,,,糖質制限中の外食。食べるものがないと思ってる人。サイゼ若鶏のグリル糖質26.6g。吉野家ライザップ牛サラダ糖質17.2g。チェーン店は意外と糖質制限に対応してる。,#糖質制限 #ロカボ #ダイエット #外食 #たべなび
19,data,低糖質メニュー,,糖質が少ない外食,サイゼ 若鶏のグリル,C26.6g,吉野家 ライザップ牛サラダ,C17.2g,すき家 牛丼ライト,C15g前後,,
19,cta,,,,,,,,,,,
20,title,すき家の牛丼ライト,ご飯→豆腐で352kcal,,,,,,,,すき家の裏技。牛丼ライト。ご飯の代わりに豆腐。352kcal、タンパク質20g。通常の牛丼638kcalから286kcalもカット。糖質制限の救世主。,#すき家 #牛丼ライト #糖質制限 #ダイエット #たべなび
20,data,通常 vs ライト,,比較,通常の牛丼（並）,638kcal,牛丼ライト,352kcal,カロリー差,−286kcal,,
20,cta,,,,,,,,,,,
21,title,吉野家で,ダイエットするならこれ,,,,,,,,吉野家でダイエットするなら「ライザップ牛サラダ」一択。398kcal、タンパク質28g。牛肉の旨味はそのまま。ご飯をサラダに置き換えた最適解。,#吉野家 #ダイエット #ライザップ牛サラダ #外食 #たべなび
21,data,ライザップ牛サラダ,,栄養成分,カロリー,398kcal,タンパク質,28g,脂質,25.2g,,
21,cta,,,,,,,,,,,
22,title,やよい軒のご飯おかわり無料,筋トレ民に最強すぎる,,,,,,,,やよい軒のご飯おかわり無料。ダイエットの敵？いや筋トレ後なら最強システム。しょうが焼定食P32g＋ご飯おかわり。増量期のコスパこれに勝てるチェーン店ある？,#やよい軒 #筋トレ飯 #増量期 #高タンパク #たべなび
22,data,しょうが焼定食,,栄養成分,カロリー,768kcal,タンパク質,32g,価格,約850円,,
22,cta,,,,,,,,,,,
23,title,記録するだけで,痩せる科学的根拠,,,,,,,,食べたものを記録するだけで、平均1.5kgの減量効果があるという研究結果がある。理由はシンプル。「見える化」すると無意識の食べすぎに気づくから。,#レコーディングダイエット #ダイエット #食事記録 #科学 #たべなび
23,data,記録の効果,,データ,記録しない人,変化なし,記録した人,平均−1.5kg,継続3ヶ月,効果が加速,,
23,cta,,,,,,,,,,,
24,title,金曜の飲み会,これだけ覚えて,,,,,,,,金曜の飲み会で太らない方法。頼め：枝豆・刺身・焼き鳥塩・冷奴。避けろ：唐揚げ・ポテト・ピザ・シメのラーメン。お酒はハイボール。これだけで500kcal変わる。,#飲み会 #ダイエット #金曜日 #居酒屋 #たべなび
24,data,頼むべきおつまみ,,低カロリーおつまみ,枝豆,134kcal,刺身盛り合わせ,180kcal,焼き鳥（塩）2本,130kcal,,
24,data,避けるべきおつまみ,,高カロリーおつまみ,唐揚げ1皿,300kcal,フライドポテト,350kcal,シメのラーメン,500kcal,,
24,cta,,,,,,,,,,,
25,title,外食で痩せた人の,共通点5つ,,,,,,,,外食で痩せた人の共通点。1.食べる前にカロリーを見る。2.タンパク質を意識する。3.ドリンクのカロリーに注意する。4.セットより単品。5.記録する。これだけ。,#ダイエット #痩せる方法 #外食 #習慣 #たべなび
25,data,5つのルール,,痩せた人の共通点,1. 食べる前にカロリー確認,,2. タンパク質20g以上を選ぶ,,3. 飲み物は水かお茶,,,
25,data,続き,,残り2つ,4. セットより単品で注文,,5. 食べたものを記録する,,全部「知識」の問題,,,
25,cta,,,,,,,,,,,
26,title,筋トレ後の外食,タンパク質30g超え5選,,,,,,,,筋トレ後の外食。タンパク質30g超えメニュー5選。全部1000円以下。プロテインシェイカー持ち歩くより合理的。,#筋トレ #高タンパク #外食 #筋トレ後 #たべなび
26,data,P30g超えメニュー,,TOP5,大戸屋チキンかあさん煮,P40.2g,サイゼ若鶏のグリル,P35.3g,やよい軒チキン南蛮,P35.6g,,
26,cta,,,,,,,,,,,
27,title,ダイエット中,これだけは食べるな,,,,,,,,ダイエット中に避けるべき外食メニュー。チェーン店の中で最もカロリーが高いものを集めた。知ってるだけで事故を防げる。,#ダイエット #高カロリー #外食 #注意 #たべなび
27,data,危険メニューTOP3,,避けるべきメニュー,カツ丼（大盛）,約1200kcal,ミラノ風ドリア+セット,約900kcal,フラペチーノ+ケーキ,約800kcal,,
27,cta,,,,,,,,,,,
28,title,外食で痩せたエンジニアが,アプリ作った話,,,,,,,,79kgのエンジニアが外食で13kg痩せた。チェーン店の栄養データを調べまくった結果、自分でアプリ作っちゃった。それが「たべなび」。,#個人開発 #エンジニア #ダイエット #アプリ #たべなび
28,data,たべなびの機能,,できること,PFCで外食先を絞り込み,,マップで近くの高タンパク店を検索,,最適なメニュー組み合わせ提案,,,
28,cta,,,,,,,,,,,
29,title,外食＝太る,これ完全に嘘です,,,,,,,,「外食＝太る」は完全に嘘。マクドナルド259kcal。サイゼリヤP35g。すき家352kcal。外食は敵じゃない。知識があれば最強の味方になる。,#外食ダイエット #ダイエット #常識を疑え #カロリー #たべなび
29,data,外食の真実,,チェーン店ダイエット飯,マック ハンバーガー,259kcal,サイゼ 若鶏のグリル,P35.3g,すき家 牛丼ライト,352kcal,,
29,cta,,,,,,,,,,,
30,title,この1ヶ月で,一番保存された外食データ,,,,,,,,この1ヶ月で反響が大きかったデータ。サイゼ500円P35g。マック259kcal。すき家352kcal。丸亀の脂質1.5g。外食の正しい知識があれば、我慢しなくても体は変わる。,#まとめ #ダイエット #外食 #保存版 #たべなび
30,data,人気データTOP5,,反響が大きかったデータ,サイゼ若鶏のグリル,500円でP35.3g,マクドナルドハンバーガー,259kcal,すき家牛丼ライト,352kcal,,
30,cta,,,,,,,,,,,
